Parametre,Deger,Takım
Topla Oynama,%47,Kayseri
Toplam Şut,5,Kayseri
İsabetli Şut,2,Kayseri
Başarılı Paslar,318,Kayseri
Pas Başarı(%),%80,Kayseri
Korner,1,Kayseri
Orta,0/6,Kayseri
Faul,15,Kayseri
Ofsayt,9,Kayseri
